Format Version,1.23,Take Name,72319453,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2019-07-23 04.54.06.021 PM,Total Frames in Take,10928,Total Exported Frames,10928,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Radar,Radar,Radar,Radar,Radar,Radar,Radar,Corner Reflector,Corner Reflector,Corner Reflector,Corner Reflector,Corner Reflector,Corner Reflector,Corner Reflector,Corner Reflector:Marker1,Corner Reflector:Marker1,Corner Reflector:Marker1,Corner Reflector:Marker2,Corner Reflector:Marker2,Corner Reflector:Marker2,Corner Reflector:Marker3,Corner Reflector:Marker3,Corner Reflector:Marker3,Radar:Marker1,Radar:Marker1,Radar:Marker1,Radar:Marker2,Radar:Marker2,Radar:Marker2,Radar:Marker3,Radar:Marker3,Radar:Marker3,Unlabeled 1185,Unlabeled 1185,Unlabeled 1185,Unlabeled 1187,Unlabeled 1187,Unlabeled 1187,Unlabeled 1190,Unlabeled 1190,Unlabeled 1190
,ID,"7679C098AD8911E97C158CA05683C95","7679C098AD8911E97C158CA05683C95","7679C098AD8911E97C158CA05683C95","7679C098AD8911E97C158CA05683C95","7679C098AD8911E97C158CA05683C95","7679C098AD8911E97C158CA05683C95","7679C098AD8911E97C158CA05683C95","82A37373AD8911E97C158CA05683C95","82A37373AD8911E97C158CA05683C95","82A37373AD8911E97C158CA05683C95","82A37373AD8911E97C158CA05683C95","82A37373AD8911E97C158CA05683C95","82A37373AD8911E97C158CA05683C95","82A37373AD8911E97C158CA05683C95","D2EF0","D2EF0","D2EF0","D2ED0","D2ED0","D2ED0","D2EC0","D2EC0","D2EC0","D2EA0","D2EA0","D2EA0","D2EE0","D2EE0","D2EE0","D2FE0","D2FE0","D2FE0","D31C0","D31C0","D31C0","D3250","D3250","D3250","D32E0","D32E0","D32E0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.004666,-0.000379,-0.011928,-0.999918,-5.126207,1.793752,-0.088124,-0.010034,-0.004248,0.167624,-0.985791,-1.006653,0.066806,-1.148771,-0.987497,0.071878,-1.421904,-1.023108,0.060757,-0.924620,-1.009807,0.065532,-1.099632,-5.045967,1.788625,-0.142900,-5.034338,1.786243,-0.039904,-5.297651,1.805688,-0.083155,,,,,,,,,
1,0.002778,-0.004501,-0.000466,-0.011970,-0.999918,-5.126278,1.793738,-0.088121,-0.025933,-0.010453,0.393196,-0.919029,-1.006679,0.066981,-1.148756,-0.987541,0.075141,-1.422121,-1.022217,0.061384,-0.924360,-1.009855,0.065482,-1.099633,-5.046185,1.789065,-0.142770,-5.034330,1.786291,-0.039886,-5.297696,1.805685,-0.083188,,,,,,,,,
2,0.005556,-0.003145,0.000807,-0.005616,-0.999979,-5.126241,1.794945,-0.088597,-0.014410,-0.005734,0.222315,-0.974852,-1.006827,0.067197,-1.148752,-0.987252,0.074520,-1.423720,-1.023079,0.060767,-0.924624,-1.009807,0.065550,-1.099652,-5.046171,1.789282,-0.142570,-5.034322,1.786263,-0.039681,-5.297662,1.809139,-0.084023,,,,,,,,,
3,0.008333,-0.003604,0.002359,0.001992,-0.999989,-5.126316,1.796092,-0.088730,-0.023172,-0.009178,0.350114,-0.936375,-1.006745,0.067193,-1.148841,-0.987423,0.074370,-1.423888,-1.022988,0.061305,-0.924571,-1.009829,0.065554,-1.099631,-5.046165,1.789034,-0.142761,-5.034309,1.786262,-0.039863,-5.297776,1.813330,-0.085372,,,,,,,,,
4,0.011111,-0.004719,-0.000078,-0.011619,-0.999921,-5.126218,1.793762,-0.088149,-0.020262,-0.008324,0.308431,-0.950995,-1.006797,0.067129,-1.148699,-0.987160,0.074426,-1.423585,-1.022966,0.061263,-0.924331,-1.009805,0.065448,-1.099666,-5.046170,1.789108,-0.142786,-5.034333,1.786246,-0.039872,-5.297269,1.806654,-0.083551,,,,,,,,,
5,0.013889,-0.004822,-0.000287,-0.011940,-0.999917,-5.126182,1.793728,-0.088059,-0.013126,-0.005542,0.208344,-0.977952,-1.006715,0.067010,-1.148766,-0.987537,0.071814,-1.421842,-1.022702,0.060760,-0.924590,-1.009822,0.065533,-1.099660,-5.046037,1.789640,-0.142594,-5.034343,1.786231,-0.039869,-5.297646,1.805804,-0.083167,,,,,,,,,
