Format Version,1.23,Take Name,Team 5 Real 1,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2019-08-04 11.06.20.925 AM,Total Frames in Take,11099,Total Exported Frames,11099,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Radar,Radar,Radar,Radar,Radar,Radar,Radar,Radar:Marker1,Radar:Marker1,Radar:Marker1,Radar:Marker2,Radar:Marker2,Radar:Marker2,Radar:Marker3,Radar:Marker3,Radar:Marker3,Unlabeled 2457,Unlabeled 2457,Unlabeled 2457,Unlabeled 2458,Unlabeled 2458,Unlabeled 2458,Unlabeled 2461,Unlabeled 2461,Unlabeled 2461,Unlabeled 2462,Unlabeled 2462,Unlabeled 2462,Unlabeled 2463,Unlabeled 2463,Unlabeled 2463,Unlabeled 2464,Unlabeled 2464,Unlabeled 2464,Unlabeled 2465,Unlabeled 2465,Unlabeled 2465,Unlabeled 2466,Unlabeled 2466,Unlabeled 2466,Unlabeled 2467,Unlabeled 2467,Unlabeled 2467,Unlabeled 2468,Unlabeled 2468,Unlabeled 2468,Unlabeled 2469,Unlabeled 2469,Unlabeled 2469,Unlabeled 2470,Unlabeled 2470,Unlabeled 2470,Unlabeled 2471,Unlabeled 2471,Unlabeled 2471,Unlabeled 2473,Unlabeled 2473,Unlabeled 2473,Unlabeled 2474,Unlabeled 2474,Unlabeled 2474,Unlabeled 2475,Unlabeled 2475,Unlabeled 2475,Unlabeled 2479,Unlabeled 2479,Unlabeled 2479,Unlabeled 2480,Unlabeled 2480,Unlabeled 2480,Unlabeled 2481,Unlabeled 2481,Unlabeled 2481,Unlabeled 2482,Unlabeled 2482,Unlabeled 2482,Unlabeled 2483,Unlabeled 2483,Unlabeled 2483,Unlabeled 2484,Unlabeled 2484,Unlabeled 2484,Unlabeled 2485,Unlabeled 2485,Unlabeled 2485,Unlabeled 2486,Unlabeled 2486,Unlabeled 2486,Unlabeled 2487,Unlabeled 2487,Unlabeled 2487,Unlabeled 2488,Unlabeled 2488,Unlabeled 2488,Unlabeled 2489,Unlabeled 2489,Unlabeled 2489,Unlabeled 2490,Unlabeled 2490,Unlabeled 2490,Unlabeled 2491,Unlabeled 2491,Unlabeled 2491,Unlabeled 2492,Unlabeled 2492,Unlabeled 2492
,ID,"6BAF0E7B6C911E97C158CA05684195","6BAF0E7B6C911E97C158CA05684195","6BAF0E7B6C911E97C158CA05684195","6BAF0E7B6C911E97C158CA05684195","6BAF0E7B6C911E97C158CA05684195","6BAF0E7B6C911E97C158CA05684195","6BAF0E7B6C911E97C158CA05684195","10F2A0","10F2A0","10F2A0","10F350","10F350","10F350","10F340","10F340","10F340","10F360","10F360","10F360","10F380","10F380","10F380","10F3B0","10F3B0","10F3B0","10F3C0","10F3C0","10F3C0","10F3D0","10F3D0","10F3D0","10F3E0","10F3E0","10F3E0","10F400","10F400","10F400","10F3F0","10F3F0","10F3F0","10F410","10F410","10F410","10F430","10F430","10F430","10F420","10F420","10F420","10F440","10F440","10F440","10F450","10F450","10F450","10F4A0","10F4A0","10F4A0","10F4B0","10F4B0","10F4B0","10F460","10F460","10F460","10F500","10F500","10F500","10F4C0","10F4C0","10F4C0","10F520","10F520","10F520","10F510","10F510","10F510","10F490","10F490","10F490","10F530","10F530","10F530","10F540","10F540","10F540","10F570","10F570","10F570","10F580","10F580","10F580","10F5A0","10F5A0","10F5A0","10F5B0","10F5B0","10F5B0","10F5C0","10F5C0","10F5C0","10F5D0","10F5D0","10F5D0","10F5E0","10F5E0","10F5E0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.004409,0.005014,-0.007338,0.999951,1.342652,1.051317,3.983881,1.343197,1.050479,4.023165,1.411633,1.048909,3.965420,1.273295,1.053346,3.961804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.002778,0.005012,0.004805,-0.009046,0.999935,1.342709,1.051190,3.984196,1.343105,1.050154,4.022913,1.411629,1.048849,3.965461,1.273299,1.053471,3.961856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.005556,0.004494,0.005011,-0.007546,0.999949,1.342650,1.051336,3.983884,1.343198,1.050459,4.023141,1.411606,1.048951,3.965443,1.273305,1.053423,3.961818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.008333,0.006183,0.005142,-0.007404,0.999940,1.342512,1.051380,3.983920,1.343186,1.050408,4.023157,1.411736,1.048586,3.965864,1.273328,1.053393,3.961784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.011111,0.010286,0.006408,-0.005642,0.999911,1.342552,1.051601,3.984404,1.343213,1.050556,4.023165,1.411162,1.048878,3.966237,1.273248,1.053400,3.961818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.013889,0.004378,0.004999,-0.007646,0.999949,1.342671,1.051304,3.983905,1.343200,1.050413,4.023148,1.411633,1.048872,3.965488,1.273309,1.053414,3.961814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
