Format Version,1.23,Take Name,Team 5 Real 3,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2019-08-04 11.12.31.293 AM,Total Frames in Take,15310,Total Exported Frames,15310,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Radar,Radar,Radar,Radar,Radar,Radar,Radar,Radar:Marker1,Radar:Marker1,Radar:Marker1,Radar:Marker2,Radar:Marker2,Radar:Marker2,Radar:Marker3,Radar:Marker3,Radar:Marker3,Unlabeled 2604,Unlabeled 2604,Unlabeled 2604,Unlabeled 2605,Unlabeled 2605,Unlabeled 2605,Unlabeled 2606,Unlabeled 2606,Unlabeled 2606,Unlabeled 2607,Unlabeled 2607,Unlabeled 2607,Unlabeled 2611,Unlabeled 2611,Unlabeled 2611,Unlabeled 2612,Unlabeled 2612,Unlabeled 2612,Unlabeled 2613,Unlabeled 2613,Unlabeled 2613,Unlabeled 2614,Unlabeled 2614,Unlabeled 2614,Unlabeled 2615,Unlabeled 2615,Unlabeled 2615,Unlabeled 2616,Unlabeled 2616,Unlabeled 2616,Unlabeled 2617,Unlabeled 2617,Unlabeled 2617,Unlabeled 2618,Unlabeled 2618,Unlabeled 2618,Unlabeled 2619,Unlabeled 2619,Unlabeled 2619,Unlabeled 2620,Unlabeled 2620,Unlabeled 2620,Unlabeled 2621,Unlabeled 2621,Unlabeled 2621,Unlabeled 2622,Unlabeled 2622,Unlabeled 2622,Unlabeled 2623,Unlabeled 2623,Unlabeled 2623,Unlabeled 2624,Unlabeled 2624,Unlabeled 2624,Unlabeled 2625,Unlabeled 2625,Unlabeled 2625,Unlabeled 2626,Unlabeled 2626,Unlabeled 2626,Unlabeled 2629,Unlabeled 2629,Unlabeled 2629
,ID,"6BAF0E7B6C911E97C158CA05684195","6BAF0E7B6C911E97C158CA05684195","6BAF0E7B6C911E97C158CA05684195","6BAF0E7B6C911E97C158CA05684195","6BAF0E7B6C911E97C158CA05684195","6BAF0E7B6C911E97C158CA05684195","6BAF0E7B6C911E97C158CA05684195","1144E0","1144E0","1144E0","1144D0","1144D0","1144D0","114620","114620","114620","114630","114630","114630","114650","114650","114650","114660","114660","114660","114680","114680","114680","1146F0","1146F0","1146F0","114700","114700","114700","114710","114710","114710","1146D0","1146D0","1146D0","114670","114670","114670","114730","114730","114730","114740","114740","114740","114770","114770","114770","114780","114780","114780","114750","114750","114750","114790","114790","114790","1147A0","1147A0","1147A0","1147B0","1147B0","1147B0","1147C0","1147C0","1147C0","1147D0","1147D0","1147D0","1147E0","1147E0","1147E0","114840","114840","114840"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.016006,0.005617,-0.005498,0.999841,1.367874,1.049142,3.941925,1.368219,1.048164,3.982100,1.437182,1.047507,3.922863,1.299147,1.050472,3.919301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.002778,0.018375,0.005717,-0.001833,0.999813,1.368111,1.049270,3.942473,1.368146,1.048247,3.982147,1.435777,1.048541,3.923749,1.299659,1.052810,3.921320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.005556,0.021730,0.002362,0.004931,0.999749,1.367969,1.049616,3.941859,1.368194,1.048132,3.982145,1.437005,1.051443,3.923655,1.298842,1.048541,3.919181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.008333,0.015496,0.002607,0.000277,0.999876,1.367968,1.049156,3.941805,1.368167,1.048119,3.982121,1.436072,1.048663,3.923310,1.298846,1.048507,3.919153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.011111,0.016646,0.005905,0.000193,0.999844,1.367876,1.049048,3.942414,1.368083,1.048103,3.982162,1.435792,1.048578,3.923710,1.298995,1.049448,3.919612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.013889,0.023815,0.007000,-0.002658,0.999688,1.368009,1.049572,3.942361,1.368212,1.048085,3.982139,1.435412,1.049023,3.923657,1.299690,1.052837,3.921320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.016667,0.015164,0.002735,0.001214,0.999881,1.367900,1.049189,3.941810,1.368194,1.048178,3.982126,1.435952,1.048525,3.923290,1.298848,1.048534,3.919146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.019444,0.012561,0.003846,-0.002972,0.999909,1.367843,1.048899,3.941701,1.368188,1.048083,3.982110,1.437243,1.047461,3.922837,1.298899,1.048499,3.919161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.022222,0.021045,0.002543,0.004507,0.999765,1.367753,1.049542,3.941791,1.368175,1.048058,3.982138,1.436970,1.051730,3.923689,1.298849,1.048464,3.919146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.025000,0.016893,0.002798,0.001360,0.999852,1.367903,1.049178,3.941826,1.368202,1.048045,3.982149,1.435443,1.048934,3.923700,1.298854,1.048391,3.919140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.027778,0.016359,0.003101,0.001612,0.999860,1.367880,1.049253,3.941819,1.368197,1.048166,3.982158,1.435399,1.049105,3.923601,1.298887,1.048487,3.919176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.030556,0.022257,0.002201,0.005727,0.999733,1.367999,1.049598,3.941872,1.368202,1.048059,3.982156,1.436998,1.051634,3.923685,1.298875,1.048454,3.919151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.033333,0.024147,0.005903,0.003518,0.999685,1.368148,1.049595,3.942474,1.368203,1.048102,3.982099,1.435804,1.048564,3.923652,1.299106,1.051019,3.919611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.036111,0.011959,0.003812,-0.003006,0.999917,1.367847,1.048883,3.941731,1.368189,1.048128,3.982159,1.437194,1.047419,3.922909,1.298899,1.048563,3.919191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.038889,0.024920,0.004136,0.002240,0.999678,1.367962,1.049798,3.942096,1.368178,1.048131,3.982157,1.436982,1.051528,3.923681,1.299143,1.050481,3.919309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.041667,0.015910,0.002459,0.000033,0.999870,1.367942,1.049194,3.941822,1.368125,1.048180,3.982168,1.436031,1.048615,3.923343,1.298863,1.048518,3.919177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.044444,0.015271,0.006029,-0.000429,0.999865,1.367866,1.048966,3.942405,1.368111,1.048162,3.982151,1.435816,1.048493,3.923715,1.298942,1.049405,3.919593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.047222,0.025926,-0.002458,-0.005891,0.999644,1.368468,1.049610,3.943085,1.368149,1.048199,3.982108,1.438908,1.048232,3.927466,1.299825,1.052641,3.921217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.050000,0.022352,0.002495,0.005840,0.999730,1.368012,1.049647,3.941857,1.368087,1.047652,3.981976,1.437011,1.051645,3.923676,1.298875,1.048707,3.919238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.052778,0.012449,0.003691,-0.003635,0.999909,1.367799,1.048934,3.941674,1.368188,1.048086,3.982136,1.437142,1.047451,3.922838,1.298844,1.048367,3.919153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.055556,0.017040,0.007584,0.000092,0.999826,1.368009,1.049038,3.942462,1.368222,1.048081,3.982135,1.436011,1.048508,3.923376,1.299808,1.052622,3.921232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.058333,0.015976,0.003266,0.001227,0.999866,1.367921,1.049237,3.942002,1.368196,1.047996,3.982303,1.435442,1.049102,3.923638,1.298890,1.048513,3.919182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.061111,0.021096,0.002271,0.004624,0.999764,1.367927,1.049515,3.941839,1.368179,1.048075,3.982090,1.436980,1.051464,3.923688,1.298854,1.048463,3.919139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.063889,0.021894,0.002231,0.005428,0.999743,1.367971,1.049638,3.941838,1.368181,1.048186,3.982098,1.436981,1.051600,3.923733,1.298829,1.048487,3.919150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.066667,0.019347,0.006364,-0.002321,0.999790,1.367998,1.049240,3.942508,1.368160,1.048157,3.982146,1.435751,1.048451,3.923700,1.299796,1.052544,3.921267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.069444,0.015077,0.007429,-0.005284,0.999845,1.368011,1.048849,3.942482,1.368196,1.048092,3.982110,1.436022,1.047729,3.923261,1.298846,1.048375,3.919136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.072222,0.026531,0.003837,0.002823,0.999637,1.368018,1.049836,3.942071,1.368207,1.048070,3.982089,1.437025,1.051615,3.923738,1.299183,1.050516,3.919291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.075000,0.014436,0.002141,-0.000468,0.999893,1.367860,1.048981,3.941906,1.368178,1.048063,3.982141,1.435766,1.048258,3.923647,1.298823,1.048431,3.919167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.077778,0.024167,0.003999,0.002244,0.999698,1.367975,1.049770,3.942064,1.368190,1.048106,3.982107,1.437004,1.051437,3.923696,1.299123,1.050464,3.919295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.080556,0.019764,0.005434,-0.001970,0.999788,1.368051,1.049284,3.942205,1.368156,1.048042,3.982123,1.436001,1.048588,3.923332,1.299152,1.050444,3.919295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.083333,0.020253,0.006749,-0.002149,0.999770,1.368062,1.049331,3.942414,1.368177,1.048111,3.982142,1.435989,1.048536,3.923401,1.299840,1.052543,3.921191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.086111,0.020946,0.002061,0.005324,0.999764,1.367972,1.049610,3.941849,1.368148,1.048141,3.982158,1.437014,1.051634,3.923712,1.298913,1.048633,3.919147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.088889,0.022709,0.002070,0.005807,0.999723,1.367947,1.049588,3.941882,1.368074,1.048041,3.982167,1.437011,1.051672,3.923674,1.298870,1.048574,3.919240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.091667,0.024222,0.006266,0.003282,0.999682,1.368176,1.049715,3.942392,1.368163,1.048178,3.982096,1.436977,1.051631,3.923702,1.299640,1.052732,3.921342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.094444,0.029663,-0.002676,-0.002938,0.999552,1.368543,1.049875,3.943091,1.368102,1.048178,3.982144,1.438928,1.048361,3.927462,1.299814,1.052533,3.921294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.097222,0.016329,0.002680,0.000976,0.999863,1.367921,1.049210,3.941793,1.368151,1.048189,3.982133,1.436019,1.048764,3.923280,1.298867,1.048531,3.919175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.100000,0.014586,0.001957,-0.001114,0.999891,1.367867,1.049097,3.941845,1.368233,1.048169,3.982150,1.435754,1.048461,3.923656,1.298877,1.048501,3.919161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.102778,0.021629,0.002107,0.005718,0.999748,1.367979,1.049611,3.941849,1.368168,1.048073,3.982124,1.437042,1.051659,3.923700,1.298843,1.048499,3.919158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.105556,0.015129,0.002779,0.000334,0.999882,1.367985,1.049168,3.941836,1.368193,1.048162,3.982139,1.435975,1.048517,3.923308,1.298878,1.048456,3.919183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.108333,0.021450,0.002149,0.005578,0.999752,1.367973,1.049587,3.941846,1.368199,1.048118,3.982125,1.436985,1.051595,3.923706,1.298872,1.048495,3.919170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.111111,0.011210,0.003717,-0.002906,0.999926,1.367833,1.048848,3.941713,1.368181,1.048148,3.982150,1.437220,1.047403,3.922911,1.298844,1.048486,3.919163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.113889,0.020472,0.005853,-0.000623,0.999773,1.367989,1.049426,3.942164,1.368197,1.048170,3.982139,1.435429,1.049136,3.923578,1.299186,1.050454,3.919266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.116667,0.017362,0.003579,0.008917,0.999803,1.367920,1.049294,3.941995,1.368219,1.048125,3.982138,1.437012,1.051605,3.923720,1.298968,1.049401,3.919580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.119444,0.020382,0.002263,0.004848,0.999778,1.367968,1.049611,3.941838,1.368162,1.048226,3.982127,1.436991,1.051438,3.923695,1.298897,1.048613,3.919179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
