Format Version,1.23,Take Name,Team 5 Real 4,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2019-08-04 11.14.32.682 AM,Total Frames in Take,10488,Total Exported Frames,10488,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Radar,Radar,Radar,Radar,Radar,Radar,Radar,Radar:Marker1,Radar:Marker1,Radar:Marker1,Radar:Marker2,Radar:Marker2,Radar:Marker2,Radar:Marker3,Radar:Marker3,Radar:Marker3,Unlabeled 2642,Unlabeled 2642,Unlabeled 2642,Unlabeled 2644,Unlabeled 2644,Unlabeled 2644,Unlabeled 2645,Unlabeled 2645,Unlabeled 2645,Unlabeled 2646,Unlabeled 2646,Unlabeled 2646,Unlabeled 2647,Unlabeled 2647,Unlabeled 2647,Unlabeled 2648,Unlabeled 2648,Unlabeled 2648,Unlabeled 2650,Unlabeled 2650,Unlabeled 2650,Unlabeled 2652,Unlabeled 2652,Unlabeled 2652,Unlabeled 2653,Unlabeled 2653,Unlabeled 2653,Unlabeled 2654,Unlabeled 2654,Unlabeled 2654,Unlabeled 2655,Unlabeled 2655,Unlabeled 2655,Unlabeled 2656,Unlabeled 2656,Unlabeled 2656,Unlabeled 2657,Unlabeled 2657,Unlabeled 2657,Unlabeled 2659,Unlabeled 2659,Unlabeled 2659,Unlabeled 2663,Unlabeled 2663,Unlabeled 2663,Unlabeled 2664,Unlabeled 2664,Unlabeled 2664,Unlabeled 2665,Unlabeled 2665,Unlabeled 2665
,ID,"6BAF0E7B6C911E97C158CA05684195","6BAF0E7B6C911E97C158CA05684195","6BAF0E7B6C911E97C158CA05684195","6BAF0E7B6C911E97C158CA05684195","6BAF0E7B6C911E97C158CA05684195","6BAF0E7B6C911E97C158CA05684195","6BAF0E7B6C911E97C158CA05684195","1148E0","1148E0","1148E0","114890","114890","114890","1148B0","1148B0","1148B0","114970","114970","114970","114940","114940","114940","1149A0","1149A0","1149A0","1149E0","1149E0","1149E0","114A00","114A00","114A00","114A20","114A20","114A20","1149B0","1149B0","1149B0","114A60","114A60","114A60","114A50","114A50","114A50","114A80","114A80","114A80","114A90","114A90","114A90","114A30","114A30","114A30","114AB0","114AB0","114AB0","114AD0","114AD0","114AD0","114B10","114B10","114B10","114AE0","114AE0","114AE0","114B30","114B30","114B30"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.000269,0.000442,-0.012406,0.999923,1.371313,1.051027,3.916949,1.371384,1.049971,3.956111,1.438510,1.047744,3.898533,1.302556,1.052781,3.893962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.002778,0.008901,-0.000496,-0.007527,0.999932,1.371252,1.050368,3.916821,1.371666,1.049795,3.958723,1.439746,1.048785,3.898746,1.302982,1.051755,3.893699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.005556,0.007466,-0.000387,-0.009455,0.999927,1.371346,1.050189,3.916810,1.371769,1.049734,3.958714,1.438590,1.048389,3.898744,1.302862,1.051467,3.893786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.008333,0.003340,0.000357,-0.014806,0.999885,1.371421,1.051199,3.916634,1.371436,1.049940,3.956131,1.438436,1.047866,3.898572,1.302348,1.054147,3.893481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.011111,-0.006619,0.000257,-0.007872,0.999947,1.371177,1.050640,3.916889,1.371469,1.049598,3.956061,1.438522,1.047749,3.898553,1.302925,1.051744,3.893667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.013889,0.005228,0.000147,-0.009652,0.999940,1.371300,1.050222,3.916674,1.371770,1.049954,3.958579,1.441690,1.053011,3.899847,1.302991,1.051824,3.893674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
